,Date,Open,High,Low,Close,Volume
0,2024-05-31,68338.58,68438.78,68280.11,68351.27,78.34
1,2024-05-30,67569.44,69536.89,67092.91,68338.58,11841.26
2,2024-05-29,68321.99,68864.11,67081.66,67569.45,8970.02
3,2024-05-28,69366.31,69533.96,67194.59,68321.98,11975.93
4,2024-05-27,68470.80,70613.39,68210.12,69368.72,5384.62
5,2024-05-26,69289.69,69522.00,68097.38,68473.72,2037.67
6,2024-05-25,68545.52,69605.03,68487.44,69289.67,2501.12
7,2024-05-24,67932.79,69278.75,66587.91,68547.80,10374.96
8,2024-05-23,69109.93,70066.95,66259.00,67940.45,14340.28
9,2024-05-22,70146.89,70659.99,68887.52,69109.93,10889.10
10,2024-05-21,71432.16,71980.00,69146.01,70142.84,16102.06
11,2024-05-20,66260.04,71560.90,66057.03,71432.17,20415.89
12,2024-05-19,66923.87,67701.91,65852.02,66261.62,3565.11
13,2024-05-18,67046.34,67407.79,66624.06,66923.87,3880.58
14,2024-05-17,65252.17,67500.00,65113.46,67046.33,11710.01
15,2024-05-16,66244.68,66772.83,64588.50,65252.18,12012.70
16,2024-05-15,61539.70,66480.00,61299.57,66244.69,21821.39
17,2024-05-14,62927.43,63103.02,61024.51,61539.84,13456.61
18,2024-05-13,61453.01,63456.18,60738.51,62932.37,9170.81
19,2024-05-12,60814.64,61843.45,60576.05,61453.02,2694.98
20,2024-05-11,60787.99,61482.00,60450.13,60814.63,2338.07
21,2024-05-10,63073.55,63470.00,60150.00,60787.47,11511.13
22,2024-05-09,61169.53,63424.14,60601.60,63073.57,8360.06
23,2024-05-08,62315.75,63013.05,60851.04,61169.53,7486.43
24,2024-05-07,63161.35,64415.06,62252.64,62315.76,8994.94
25,2024-05-06,64023.45,65523.44,62704.48,63164.06,11241.77
26,2024-05-05,63902.88,64636.75,62908.34,64023.45,4474.52
27,2024-05-04,62913.03,64546.00,62565.82,63902.88,6414.57
28,2024-05-03,59070.30,63365.72,58821.05,62913.03,15954.29
29,2024-05-02,58267.81,59641.03,56903.79,59071.89,13593.01
30,2024-05-01,60621.20,60785.49,56500.00,58265.59,26611.93
31,2024-04-30,63845.01,64727.81,59040.30,60622.10,21106.66
32,2024-04-29,63109.76,64200.00,61741.01,63844.85,10712.14
33,2024-04-28,63422.34,64333.33,62743.81,63108.94,4415.97
34,2024-04-27,63742.39,63900.00,62389.00,63422.00,5312.17
35,2024-04-26,64484.44,64810.00,63287.76,63742.39,10151.96
36,2024-04-25,64255.77,65287.69,62747.18,64484.49,13256.30
37,2024-04-24,66418.00,67077.97,63542.56,64255.78,15083.55
38,2024-04-23,66856.07,67225.66,65823.66,66418.00,8840.17
39,2024-04-22,64952.92,67272.73,64520.00,66859.17,10977.05
40,2024-04-21,64960.82,65725.81,64250.00,64952.92,4487.49
41,2024-04-20,63841.96,65463.08,63121.15,64968.87,5157.41
42,2024-04-19,63514.84,65498.99,59573.32,63848.37,22838.08
43,2024-04-18,61275.73,64210.00,60816.07,63513.85,15249.84
44,2024-04-17,63814.94,64524.14,59648.33,61279.36,21812.15
45,2024-04-16,63454.00,64400.00,61645.09,63814.94,17710.28
46,2024-04-15,65764.56,66928.82,62315.08,63452.18,21672.74
47,2024-04-14,64021.36,65890.91,62150.00,65777.05,21604.05
48,2024-04-13,67148.62,69100.00,60822.01,64008.10,27548.47
49,2024-04-12,70020.71,71265.74,65110.31,67148.61,23509.76
50,2024-04-11,70638.40,71305.86,69530.00,70020.73,11001.16
51,2024-04-10,69115.79,71159.60,67463.07,70634.04,16655.99
52,2024-04-09,71616.31,71761.37,68200.00,69117.01,15143.52
53,2024-04-08,69350.36,72777.00,69037.33,71622.53,16648.69
54,2024-04-07,68919.57,70312.00,68846.23,69350.34,5766.42
55,2024-04-06,67856.51,69685.00,67469.19,68919.89,3985.44
56,2024-04-05,68528.46,68783.99,66000.00,67856.51,15515.82
57,2024-04-04,65984.18,69367.19,65073.95,68525.23,18624.08
58,2024-04-03,65472.00,66944.06,64500.00,65987.92,14506.56
59,2024-04-02,69681.85,69711.00,64521.61,65465.14,23496.59
60,2024-04-01,71291.50,71313.80,68055.15,69681.82,13916.60
61,2024-03-31,69623.86,71399.91,69587.86,71291.28,4424.67
62,2024-03-30,69903.74,70363.25,69569.03,69626.87,3262.62
63,2024-03-29,70804.06,70941.70,69036.95,69903.75,7365.03
64,2024-03-28,69436.83,71635.99,68841.01,70801.18,15224.18
65,2024-03-27,69994.90,71789.85,68369.62,69435.96,18703.74
66,2024-03-26,69895.60,71582.96,69269.69,69992.40,15697.73
67,2024-03-25,67212.69,71269.92,66381.84,69890.36,22228.14
68,2024-03-24,63998.87,67637.60,63785.57,67205.24,6535.83
